"id","name","categ_id","sale_ok","purchase_ok","type","procure_method","supply_method","uom_id","standard_price","property_account_income","property_account_expense"
"product_expense_001","ค่าน้าประปา","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",0,"56109","56109"
"product_expense_002","ค่าไฟฟ้า","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",0,"56109","56109"
"product_expense_003","ค่าเบี้ยเลี้ยงฝ่ายวิศวกรรม","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",250,"54103","54103"
"product_expense_004","ค่าเบี้ยเลี้ยงพนักงานออฟฟิศ","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",250,"56402","56402"
"product_expense_005","ค่าคอมมิชชั่นพนักงานขาย","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"55112","55112"
"product_expense_006","ค่าประกันสุขภาพพนักงานขาย","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"55107","55107"
"product_expense_007","ค่าประกันสุขภาพฝ่ายวิศวกรรม","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"54105","54105"
"product_expense_008","ค่าประกันสุขภาพพนักงานออฟฟิศ","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56404","56404"
"product_expense_009","ค่าเช่า สนง.","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",32000,"56104","56104"
"product_expense_010","ค่าเช่า SERVER","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",5500,"56103","56103"
"product_expense_011","ค่าโทรศัพท์ออฟฟิศ","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56206","56206"
"product_expense_012","ค่าประกันภัยรถยนต์","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56106","56106"
"product_expense_013","ค่ารักษาความสะอาด","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",3092.78,"56110","56110"
"product_expense_014","ดอกเบี้ยจ่าย","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56308","56308"
"product_expense_015","ค่าธรรมเนียมธนาคาร","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56309","56309"
"product_expense_016","ค่าใช้จ่ายเบ็ดเตล็ด","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56316","56316"
"product_expense_017","เงินเดือนฝ่ายวิศกรรม","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"54100","54100"
"product_expense_018","เงินเดือนพนักงานขาย","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"55103","55103"
"product_expense_019","เงินเดือนพนักงานออฟฟิศ","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56400","56400"
"product_expense_020","เงินประกันสังคม","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56408","56408"
"product_expense_021","ค่างวดรถยนต์นั่ง","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"24100","24100"
"product_expense_022","ค่างวดรถกระบะ","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"24200","24200"
"product_expense_023","ค่างวดเงินกู้","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"24300","24300"
"product_expense_024","เงินประกันสังคมค้างจ่าย","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"22160","22160"
"product_expense_025","ค่าประกันภัยโจรกรรมสำนักงาน","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56107","56107"
"product_expense_026","ค่าเบี้ยประกันอัคคีภัย","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56108","56108"
"product_expense_027","ค่าโทรศัพท์ในการขาย","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"55111","55111"
"product_expense_028","ค่าน้ำมันรถพนักงานขาย","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"55113","55113"
"product_expense_029","ค่าตรวจสอบบัญชี","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56205","56205"
"product_expense_030","ค่าไปรษณีย์","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56304","56304"
"product_expense_031","ค่าวัสดุสิ้นเปลืองสำนักงาน","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56302","56302"
"product_expense_032","สวัสดิการพนักงาน","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56412","56412"
"product_expense_033","ค้ำมันรถยนต์บริษัท","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"55113","55113"
"product_expense_034","ค่าใช้จ่ายเบ็ดเตล็ด","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"56316","56316"
"product_expense_035","ค่าโทรศัพท์ฝ่ายวิศวกรรม","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"54109","54109"
"product_expense_036","ค่าขนส่งสินค้าออก","Expenses","FALSE","TRUE","Service","Make to Stock","Buy","Ea",,"55100","55100"
