"id","name"
"product_brand_1","AFC"
"product_brand_2","Buhler"
"product_brand_3","KNF"
"product_brand_4","EM-Technic"
"product_brand_5","HF"
"product_brand_6","Testa"
"product_brand_7","MNALGENE, USA"
"product_brand_8","YUPAO"
"product_brand_9","ISOYA"
"product_brand_10","AII"
"product_brand_11","M&C"
"product_brand_12","Swaglok"
"product_brand_13","Hylok"
"product_brand_14","WRW"
"product_brand_15","SMC"
"product_brand_16","Phillip"
"product_brand_17","Pirex"
"product_brand_18","Tygon"
"product_brand_19","DWYER"
"product_brand_20","WIKA"
"product_brand_21","Swagelok"
"product_brand_22","Iglass"
"product_brand_23","Exion"
"product_brand_24","Go"
"product_brand_25","Fluke"
"product_brand_26","Vaisala"
"product_brand_27","HAGER"
"product_brand_28","IKA"
"product_brand_29","COLE-PARMER"
"product_brand_30","Parker"
"product_brand_31","APL"
"product_brand_32","Nuovafima"
"product_brand_33","TIS"
"product_brand_34","Casio"
"product_brand_35","Kobold"
"product_brand_36","PA Case"
"product_brand_37","OAKTON"
"product_brand_38","Thaikana"
"product_brand_39","Flowtek"
"product_brand_40","Teetech"
"product_brand_41","Yasaki"
"product_brand_43","Hawke"
"product_brand_44","KUGEL"
"product_brand_45","NUOVA FIMA"
"product_brand_46","Shurflo"
"product_brand_47","GO"
"product_brand_48","Control Air"
"product_brand_49","HAWKE"
"product_brand_50","RIDGID"
"product_brand_51","Cole Parmer"
"product_brand_53","M-Top"
"product_brand_54","Koken"
"product_brand_55","BAHCO"
"product_brand_56","KingTony"
"product_brand_57","UNIOR"
"product_brand_58","Shinko"
"product_brand_59","M-PLUS"
"product_brand_60","Pyrex"
