"id","name","category_id/id","factor_inv","factor","rounding","uom_type"
"product.product_uom_bottle","Bottle","product.product_uom_categ_unit",1,1,0.01,"smaller"
"product.product_uom_day","Day","product.uom_categ_wtime",1,1,0.01,"reference"
"product.product_uom_feet","Feet","product.uom_categ_length",3.2808,3.2808,0.01,"smaller"
"product.product_uom_month","Month","product.uom_categ_wtime",30,30,0.01,"bigger"
"product.product_uom_week","Week","product.uom_categ_wtime",7,7,0.01,"bigger"
"product.product_uom_bolt","Bolt, Nut, Screw","product.product_uom_categ_unit",1,1,0.01,"smaller"
"product.product_uom_litre","Litre","product.product_uom_categ_vol",1,1,0.01,"reference"
"product.product_uom_box_3","Box/3","product.product_uom_categ_unit",3,3,0.01,"bigger"
"product.product_uom_box_4","Box/4","product.product_uom_categ_unit",4,4,0.01,"bigger"
